State,Value
Texas,1136732
Florida,631809
Virginia,479582
California,418971
Georgia,377800
Arizona,308973
Pennsylvania,295474
North Carolina,252362
Ohio,245758
Indiana,226280
Alabama,224341
Washington,213639
Colorado,196779
Tennessee,192757
Utah,174764
Maryland,154358
Louisiana,150061
Michigan,149993
South Carolina,149308
Illinois,139422
Minnesota,137800
Missouri,137468
Nevada,132291
Kentucky,131187
Oregon,127140
Oklahoma,123031
New Mexico,121682
South Dakota,118807
Wisconsin,118131
New Jersey,115437
Arkansas,106215
District of Columbia,101074
Mississippi,98023
Idaho,97528
Connecticut,93297
New York,92965
Wyoming,84499
New Hampshire,84207
Kansas,82287
Iowa,72406
West Virginia,63508
Montana,56126
Nebraska,54447
Massachusetts,48045
North Dakota,40122
Alaska,36097
Maine,28767
Vermont,11567
Hawaii,9643
Delaware,7888
Rhode Island,4895
